Sampler:TPESampler
(62, 64, 93, 84, 12, 10), 25.0
(63, 45, 17, 82, 53, 30), 19.0
(82, 14, 29, 84, 10, 32), 22.0
(57, 15, 32, 66, 77, 49), 20.0
(20, 85, 6, 49, 28, 15), 30.0
(49, 91, 9, 41, 29, 29), None
(49, 24, 36, 57, 7, 92), 22.0
(49, 52, 13, 21, 25, 99), 21.0
(6, 66, 7, 18, 88, 98), 21.0
(49, 30, 86, 11, 10, 18), 19.0
(99, 40, 65, 99, 61, 68), None
(28, 35, 66, 5, 51, 3), 22.0
(69, 52, 99, 29, 64, 30), 20.0
(37, 2, 77, 2, 39, 50), None
(68, 32, 50, 71, 51, 46), 26.0
(83, 66, 50, 34, 97, 21), 25.0
(37, 44, 23, 92, 39, 61), 22.0
(83, 28, 85, 70, 0, 37), 24.0
(37, 77, 66, 55, 68, 4), 24.0
(73, 16, 40, 16, 40, 19), None
(99, 0, 78, 43, 19, 64), 20.0
(99, 5, 76, 46, 18, 76), None
(59, 22, 21, 68, 76, 43), 24.0
(54, 14, 37, 80, 79, 24), 23.0
(41, 47, 23, 62, 56, 54), 21.0
(70, 55, 99, 30, 62, 36), 24.0
(74, 60, 89, 10, 68, 27), 21.0
(18, 37, 57, 37, 21, 78), None
(60, 9, 44, 76, 79, 13), 22.0
(56, 31, 0, 87, 98, 40), 24.0
(66, 76, 98, 27, 37, 10), 18.0
(66, 73, 99, 26, 45, 9), 24.0
(77, 23, 90, 12, 34, 0), 29.0
(64, 41, 30, 64, 12, 10), None
(44, 99, 18, 77, 32, 17), 24.0
(85, 60, 80, 40, 17, 61), 24.0
(90, 81, 84, 22, 4, 34), 21.0
(53, 17, 30, 52, 47, 24), 26.0
(63, 71, 98, 28, 70, 28), None
(77, 52, 93, 33, 57, 31), 24.0
(45, 89, 71, 7, 12, 10), 19.0
(46, 89, 72, 6, 13, 9), 24.0
(30, 95, 58, 15, 23, 14), 20.0
(24, 99, 58, 12, 24, 14), None
(49, 83, 9, 1, 8, 6), 27.0
(58, 90, 15, 22, 89, 20), 22.0
(69, 47, 93, 19, 1, 24), 25.0
(52, 71, 86, 24, 29, 0), 20.0
(41, 57, 72, 5, 43, 6), 19.0
(31, 58, 70, 7, 55, 6), 21.0
(43, 79, 73, 3, 42, 17), 20.0
(45, 76, 72, 0, 41, 16), 18.0
(39, 76, 82, 10, 36, 12), 18.0
(34, 75, 63, 8, 35, 12), 26.0
(46, 87, 82, 1, 51, 21), 18.0
(38, 68, 82, 0, 49, 4), 23.0
(48, 87, 76, 99, 53, 19), 24.0
(25, 94, 68, 14, 44, 8), 22.0
(39, 64, 88, 3, 35, 22), 22.0
(33, 84, 63, 17, 37, 16), 20.0
(12, 77, 53, 9, 29, 12), None
(43, 93, 81, 4, 49, 3), 18.0
(51, 93, 96, 0, 59, 26), 22.0
(43, 85, 81, 5, 49, 1), 18.0
(45, 86, 81, 4, 47, 0), 16.0
(35, 85, 80, 5, 48, 2), 21.0
(41, 81, 91, 12, 39, 2), 22.0
(45, 86, 82, 3, 53, 7), 22.0
(56, 96, 75, 10, 46, 0), 20.0
(27, 79, 79, 0, 41, 3), None
(41, 92, 84, 14, 51, 12), 19.0
(42, 92, 84, 14, 50, 5), 25.0
(47, 88, 88, 7, 32, 10), None
(54, 75, 95, 93, 62, 15), 24.0
(0, 82, 69, 4, 38, 9), 24.0
(61, 68, 44, 20, 59, 20), None
(45, 89, 75, 8, 45, 3), None
(51, 78, 86, 17, 26, 17), None
(39, 97, 82, 12, 54, 91), 21.0
(66, 74, 79, 50, 66, 50), None
(36, 81, 91, 10, 33, 0), 23.0
(48, 86, 74, 3, 49, 11), 22.0
(43, 63, 78, 6, 43, 6), None
(50, 70, 87, 5, 43, 7), 22.0
(47, 90, 81, 10, 10, 23), None
(32, 42, 65, 2, 51, 14), 20.0
(57, 91, 84, 14, 59, 33), 24.0
(40, 84, 61, 0, 47, 8), 21.0
(72, 27, 94, 55, 57, 30), 20.0
(37, 97, 70, 8, 52, 12), 25.0
(53, 37, 2, 31, 37, 26), None
(44, 33, 90, 37, 16, 18), 22.0
(41, 93, 72, 6, 41, 4), None
(46, 87, 77, 4, 46, 11), None
(55, 49, 26, 11, 6, 15), 24.0
(43, 83, 67, 2, 48, 5), 21.0
(49, 20, 84, 26, 22, 2), 19.0
(39, 80, 72, 16, 44, 10), 22.0
(50, 57, 97, 47, 31, 3), 24.0
(29, 12, 85, 27, 15, 1), 24.0
(59, 6, 92, 43, 56, 55), 18.0
(35, 5, 83, 25, 56, 58), 27.0
(63, 20, 91, 41, 51, 54), 28.0
(59, 76, 93, 36, 21, 46), 18.0
(60, 76, 93, 33, 19, 67), 26.0
(67, 71, 77, 47, 36, 46), 26.0
(58, 67, 96, 38, 26, 39), 19.0
(62, 73, 99, 43, 25, 42), 20.0
(65, 77, 88, 35, 41, 54), 25.0
(52, 19, 86, 23, 21, 78), 23.0
(59, 54, 80, 45, 40, 47), 23.0
(70, 25, 89, 1, 54, 36), 22.0
(57, 68, 97, 40, 14, 40), None
(47, 95, 93, 19, 48, 49), 24.0
(54, 88, 36, 8, 3, 58), 21.0
(49, 11, 83, 31, 28, 21), 24.0
(44, 2, 92, 29, 21, 8), 18.0
(44, 78, 96, 35, 26, 13), 24.0
(48, 1, 92, 28, 21, 8), 23.0
(58, 0, 95, 39, 23, 44), 26.0
(64, 3, 89, 60, 45, 28), 24.0
(46, 7, 87, 29, 12, 2), 22.0
(42, 8, 80, 6, 10, 5), 22.0
(39, 85, 95, 36, 50, 16), 22.0
