Sampler:TPESampler
(21, 252, 139), 52.0
(6, 261, 115), 46.0
(15, 239, 134), 57.0
(26, 244, 105), 46.0
(50, 255, 123), 44.0
(6, 266, 98), 38.0
(1, 262, 151), 48.0
(10, 258, 120), 50.0
(235, 268, 86), 48.0
(265, 268, 99), 52.0
(19, 278, 113), 68.0
(5, 248, 149), 44.0
(33, 253, 42), 36.0
(14, 260, 23), 44.0
(26, 1, 56), 54.0
(31, 299, 107), 52.0
(36, 246, 127), 46.0
(20, 274, 49), 42.0
(42, 251, 41), 66.0
(10, 236, 7), 74.0
(33, 253, 158), 74.0
(25, 258, 116), 44.0
(60, 243, 32), 64.0
(25, 290, 20), 58.0
(55, 292, 93), 76.0
(43, 287, 42), 72.0
(17, 263, 16), 46.0
(214, 251, 60), 70.0
(34, 271, 50), 52.0
(61, 265, 248), 76.0
(47, 255, 120), 46.0
(36, 104, 33), 58.0
(190, 280, 256), 44.0
(79, 263, 11), 48.0
(67, 242, 233), 42.0
(23, 247, 142), 58.0
(72, 270, 244), 46.0
(42, 276, 262), 44.0
(121, 256, 196), 66.0
(0, 266, 238), 40.0
(1, 258, 243), 38.0
(0, 259, 239), 50.0
(4, 252, 227), 50.0
(12, 288, 37), 50.0
(55, 284, 26), 40.0
(53, 285, 43), 42.0
(9, 295, 26), 46.0
(31, 261, 250), 38.0
(32, 251, 248), 42.0
(63, 259, 256), 48.0
(48, 246, 134), 46.0
(156, 263, 126), 48.0
(179, 238, 112), 69.0
(30, 232, 20), 38.0
(29, 229, 18), 38.0
(141, 230, 17), 50.0
(29, 235, 4), 50.0
(17, 240, 165), 78.0
(37, 222, 21), 48.0
(40, 162, 15), 70.0
(28, 229, 19), 40.0
(53, 295, 27), 44.0
(39, 241, 10), 48.0
(14, 183, 0), 69.0
(66, 255, 24), 62.0
(6, 247, 117), 40.0
(25, 268, 250), 66.0
(5, 267, 12), 52.0
(9, 232, 107), 50.0
(19, 235, 118), 60.0
(32, 254, 244), 42.0
(31, 127, 262), 62.0
(21, 29, 35), 36.0
(17, 243, 29), 46.0
(21, 60, 35), 74.0
(21, 147, 54), 58.0
(14, 273, 44), 42.0
(27, 24, 70), 74.0
(100, 263, 128), 56.0
(30, 258, 77), 68.0
(1, 248, 19), 44.0
(43, 79, 98), 82.0
(1, 262, 235), 44.0
(75, 32, 7), 70.0
(13, 276, 46), 48.0
(23, 280, 36), 44.0
(10, 238, 50), 72.0
(35, 198, 61), 44.0
(59, 299, 27), 45.0
(24, 89, 111), 80.0
(66, 255, 253), 43.0
(48, 251, 123), 42.0
(6, 243, 119), 42.0
(39, 257, 275), 54.0
(17, 271, 13), 66.0
(7, 247, 104), 64.0
(30, 167, 133), 46.0
(57, 225, 32), 44.0
(91, 265, 20), 48.0
(9, 247, 114), 48.0
(28, 235, 143), 48.0
(22, 238, 173), 66.0
(45, 13, 268), 46.0
(32, 69, 19), 82.0
