Sampler:TPESampler
(223, 267, 311, 96, 304, 264), 61.0
(64, 74, 150, 115, 98, 330), 62.0
(371, 175, 360, 17, 306, 47), 44.0
(390, 4, 289, 15, 48, 316), 38.0
(315, 210, 47, 17, 117, 139), 80.0
(93, 173, 165, 389, 89, 195), 52.0
(326, 269, 240, 215, 392, 145), 60.0
(239, 182, 323, 326, 67, 31), 50.0
(293, 321, 11, 8, 82, 123), 72.0
(286, 185, 144, 286, 108, 92), None
(138, 35, 257, 129, 7, 395), 66.0
(394, 394, 386, 55, 228, 2), None
(398, 95, 379, 170, 221, 278), 50.0
(359, 9, 296, 69, 348, 235), 58.0
(254, 120, 345, 0, 267, 345), None
(169, 131, 250, 189, 186, 63), 57.0
(8, 57, 205, 50, 10, 208), 57.0
(347, 253, 356, 255, 158, 306), 64.0
(377, 3, 287, 144, 296, 378), 54.0
(282, 344, 397, 68, 395, 179), 42.0
(192, 398, 398, 87, 395, 190), None
(280, 355, 348, 31, 358, 80), 36.0
(269, 348, 335, 44, 358, 164), 46.0
(309, 326, 279, 42, 376, 85), 54.0
(220, 359, 218, 83, 340, 246), 68.0
(327, 292, 397, 134, 247, 110), 44.0
(270, 232, 326, 30, 160, 167), 48.0
(169, 300, 355, 96, 44, 290), 50.0
(352, 371, 107, 166, 328, 223), 72.0
(213, 278, 310, 112, 282, 253), 72.0
(255, 331, 267, 73, 321, 350), 70.0
(330, 298, 396, 133, 258, 121), 66.0
(295, 376, 371, 112, 372, 103), 60.0
(365, 137, 357, 23, 303, 57), 46.0
(381, 215, 311, 4, 323, 19), 54.0
(326, 298, 376, 64, 139, 162), 52.0
(341, 251, 340, 103, 241, 69), 44.0
(340, 251, 300, 34, 195, 81), 46.0
(302, 340, 332, 388, 369, 41), 79.0
(240, 158, 230, 229, 130, 136), 46.0
(121, 87, 371, 17, 387, 39), 44.0
(100, 78, 397, 27, 394, 101), 52.0
(317, 311, 166, 53, 285, 113), 40.0
(52, 25, 168, 18, 351, 26), 52.0
(121, 39, 102, 58, 379, 151), 41.0
(280, 52, 85, 59, 279, 187), 44.0
(155, 316, 130, 81, 364, 141), 44.0
(65, 29, 174, 50, 334, 126), 60.0
(202, 103, 60, 67, 309, 175), 53.0
(241, 372, 5, 326, 68, 214), 48.0
(309, 55, 190, 1, 213, 152), 64.0
(319, 278, 141, 144, 241, 116), 48.0
(387, 352, 112, 99, 381, 69), 50.0
